id;Раунд;Турнир (название);Турнир (формат);Турнир (город);Дата;Резолюция
193;Р2;II тур МЛЧ сезона 2011/2012;Для новичков;Москва;2012.02;ЭПСЧ международные террористы не должны подвергаться аресту и быть представленными перед судом, если есть возможность их уничтожения (Одна из трёх тем по жребию)
194;Р3;II тур МЛЧ сезона 2011/2012;Для новичков;Москва;2012.02;ЭП будет поощрять детский труд в развивающихся странах 
195;Р1;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП запретит производство и продажу военных игрушек
196;Р2;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП запретит малоимущим родителям заводить второго ребенка
197;Р3;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП запретит рекламу инвестиционных инструментов
198;Р4;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП введет 100% налог на наследство
199;Р5;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭПСЧ государство имеет право на уничтожение исторических доказательств для предотвращения социальных волнений
200;ПФ;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП поддерживает целенаправленное уничтожение иранских учёных, занимающихся ядерными разработками
201;Ф;ОТ «Залечь на дно в Петербурге»;Открытый;Санкт-Петербург;2012.02;ЭП осуждает ученых, занимающихся разработкой человекоподобных роботов
202;Р1;IV Зимний кубок;Открытый;Новосибирск;2012.02;ЭП обяжет олигархов заплатить «налог на приватизацию»
