id;Раунд;Турнир (название);Турнир (формат);Турнир (город);Дата;Резолюция
2749;Р2;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭП считает необходимым ввести строгий международный контроль над политикой регулирования (производство, импорт, экспорт, распределение и использование) опиоидных препаратов в Африканском регионе. 
* В Африканском регионе в настоящее время ООН регулирует только лекарственные препараты, которые являются ""предметом злоупотребления"" (например, морфин). Более слабые препараты (например, трамадол, который в 10 раз слабее действия морфина) не контролируются на международном уровне, и каждая страна устанавливает собственные нормы и правила регулирования таких лекарственных препаратов.
Один из многочисленных (но не самых освещенных) примеров - опиоидные анальгетики. Они относительно безопасны и широко доступны, однако при приёме в больших дозах способны вызывать эйфорию, схожую с героиновой.
В основном опиоиды назначаются больным раком, перенесшим операцию или страдающим от хронической боли. Во многих странах (без контроля) они включены в список основных лекарственных средств, которые медицинская служба должна всегда иметь в наличии для удовлетворения потребностей населения.
Масштабы злоупотребления опиоидными препаратами в странах Северной, Западной Африки и Ближнего Востока ужасают (например, в Египте больше 60% людей, проходивших лечение от наркомании в государственных клиниках, называли трамадол (опиоид) основным веществом злоупотребления.)."
2750;Р3;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭП поддерживает распространении принципа морального релятивизма 
* Моральный релятивизм – принцип, согласно которому не существует абсолютного добра и зла, отрицание обязательных моральных норм и объективного критерия нравственности "
2751;Р4;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭП запретит использование военной пропаганды, целью которой является дегуманизация противника
* Дегуманизация - процесс, который продвигает идею о том, что отдельные группы людей лишены человечности (они склонны к агрессии, жестокости и преследуют только разрушительные цели). "
2752;Р5;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭП сожалеет о практиках активного осуждения общественных деятелей за непреступные действия (включая, но не ограничиваясь: дискриминационные высказывания, грубое или негативное девиантное поведение (наркомания, алкоголизм, самоповреждение)).
* Под активным осуждением в этой теме мы понимаем публичную критику действий, бойкот продукции (музыки, сериалов/фильмов с участием осуждаемого, мерча и т.д.), массовое недовольство и др."
2753;ПФ;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭПСЧ в интересах Коммунистической Партии Китая прекратить попытки нарушить принцип ""Одна страна две системы"" в отношении Гонконга 
* «Одна страна, две системы» - это конституционный принцип, описывающий управление Гонконга и Макао.
Принцип заключается в том, что после воссоединения Гонконга и Макао с Китаем (которые были колониями Великобритании и Португалии), несмотря на политику китайского социализма в КНР (или «материковом Китае»), могут сохранить свою сложившуюся систему с высокой степенью автономии в течение 50 лет после воссоединения. То, что произойдет после 2047 года (Гонконг) и 2049 года (Макао), публично не сообщалось.

В настоящее время обещания КНР обеспечить высокую степень автономии в Гонконге ставятся под сомнение:
- Коммунистическая партия Китая разрешит Гонконгу голосовать только за тех кандидатов, которые были выбраны Пекином.
- Недавно была попытка введения законопроекта об экстрадиции (В случае его принятия законопроект позволит местным властям задерживать и выдавать лиц, находящихся в розыске на территориях, с которыми Гонконг не имеет соглашений об экстрадиции, включая материковый Китай и Тайвань.).
Подобные действия приводят к протестным акциям в Гонконге (Одни из самых ярких, это революция зонтиков в 2014 (против намерений властей в Пекине контролировать выборный процесс в местные органы власти, требующих предоставления подлинного всеобщего избирательного права) и протесты в Гонконге 2019 года (против законопроекта об экстрадиции). "
2754;Ф;1-й тур Сибирской лиги дебатов 2019/2020 ;Джедайский;Томск;2019.12;"ЭПСЧ либерализация сексуального поведения, вызванная сексуальной революцией, в настоящее время приносит женщинам больше вреда, чем пользы.
* Сексуальная революция – результат коренных изменений в сексуальной жизни общества, характеризующихся существенными преобразованиями сексуальных ценностей, восприятия ориентации, норм, санкций и сексуальных отношений, раскрепощающими личность и общество, нивелирующими общественные морально-религиозные нормы о запрете секса вне брака, целомудрии и другие. "
2755;Р1;Добрые дебаты;Открытый;Казань;2019.12;ЭП будет цензурировать расистский, сексистский и иной явно дискриминационный юмор 
2756;Р2;Добрые дебаты;Открытый;Казань;2019.12;"ЭПС о решении WADA 
* Исполком Всемирного антидопингового агентства (WADA) лишил Россию на четыре года права участвовать в крупных международных соревнованиях, включая Олимпиаду.
Агентство также запретило российским чиновникам и руководителям Олимпийского и Паралимпийского комитетов России посещать спортивные мероприятия, а России - принимать или претендовать на проведение международных соревнованиях в течение четырёх лет.
Решение WADA означает, что к соревнованиям могут быть допущены только ""чистые"" спортсмены, при этом они не смогут использовать российский флаг и гимн."
2757;Р3;Добрые дебаты;Открытый;Казань;2019.12;"ЭП поддерживает легализацию банд во всех латиноамериканских странах 
* В 2007 году Эквадор декриминализовал членство в бандах и легализовал некоторые из своих крупнейших банд, в том числе, самую большую уличную банду в мире - ""Латинских королей"".
Эквадорским бандам было разрешено регистрироваться в качестве культурных организаций, имеющих право на государственное финансирование и различные социальные пособия.
Преступная часть их деятельности осталась незаконной, осуждённые члены банды не были амнистированы."
2758;Р4;Добрые дебаты;Открытый;Казань;2019.12;"ЭПСЧ США должны принять NOPEC 
* NOPEC (No Oil Producing and Exporting Cartels Act) - антикартельный законопроект США, цель которого заключается в том, чтобы наделить американские суды полномочиями рассматривать антимонопольные иски в адрес стран ОПЕК и других государств, участвующих в картельных сговорах на нефтяном рынке. NOPEC вносит поправки в акт Шермана (антимонопольный закон США). Согласно законопроекту, незаконными признаются любые совместные действия правительств других стран, направленные на ограничение добычи нефти и установления цен на неё."
2759;Р5;Добрые дебаты;Открытый;Казань;2019.12;ЭП ограничит сумму денег, которую родители могут тратить на своих детей
2760;ПФ;Добрые дебаты;Открытый;Казань;2019.12;"ЭП поддерживает широкое распространение Либры
* Либра — это предлагаемая криптовалюта, управляемая консорциумом технологических компаний во главе с Facebook. Стоимость либры привязана к корзине мировых валют, в основном к доллару США, евро и иене.
Консорциум либры будет держать резерв в стандартных валютах (доллар, евро, иена и т. д.), равный общей стоимости всей либры в обращении. Это означает, что единственный способ увеличить предложение либры — это купить больше её со стандартной валютой, которая затем будет помещена в резерв."
2761;Ф;Добрые дебаты;Открытый;Казань;2019.12;ЭПСЧ X в 1994 г. не должен был заключать Y с Z (примерная формулировка)
2762;Р1;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;"ЭПСЧ меньшинства должны активно использовать respectability politics
* Respectability politics – распространение убеждений, что представители меньшинств соответствуют стандартам мейнстрима (имеют схожие ценности и потребности, говорят на местном языке, отождествляют себя с доминирующими социальными группами, не выражают ярко индивидуальность, религиозные убеждения и т.д.)"
2763;Р2;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;ЭП создаст зоны свободного оборота всех наркотиков
2764;Р3;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;"ЭП поддерживает распространение такой практики
* С лета 2020 года инвестиционный банк Goldman Sachs будет отказывать в IPO компаниям с однотипными советами директоров. В частности, в которых нет женщин"
2765;Р4;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;ЭП позволит людям отказываться от законов
2766;Р5;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;"ЭПС недопустимым использовать эту технологию
* Существует технология по стиранию нежелательных воспоминаний и замены их на желаемые"
2767;Р6;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;"ЭП обяжет матерей к аборту при склонности к преступлениям у плода больше 50%
* Существует технология определения склонности к преступлениям у плода во время беременности"
2768;ПФ;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;ЭП сожалеет о нарративе «принимай себя таким, какой ты есть»
2769;Ф;Зимний Турнир ВШЭ 2020;Открытый;Санкт-Петербург;2020.02;В случае, если учёные точно установили, что в ближайшее время Земля будет уничтожена, ЭП скроет эту информацию от людей
2770;Р1;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;ЭПСЧ западным либеральным демократиям необходимо наделять религиозные организации полномочиями судить и наказывать прихожан за нарушения религиозного права
2771;Р2;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;"ЭП запретит применение принципа ""Grandfather clause"" в экономической правовой практике развивающихся странах
* Grandfather clause - принцип защиты инвестора от изменения законодательства принимающей инвестиции стороны. При принятии в будущем нормативных актов, ухудшающих правовое положение инвестора (например, ухудшение налогового режима), действуют нормы, существовавшие на момент вложения инвестиций (на весь срок реализации инвестиционного проекта)."
2772;Р3;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;ЭП (развитая страна) запретит любые массовые уличные протесты
2773;Р4;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;"ЭП сожалеет о коммерциализации эко-тренда 
* Коммерциализация эко-тренда - процесс, в котором производители товаров и услуг продвигают свою продукцию как экологически безопасную, организуют переработку товаров и т.д."
2774;Р5;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;"ЭП (Южная Африка) принудительно расформирует анклавы, где проживают исключительно африканеры, а также запретит создавать новые 
* Африканеры - группа белого населения Южной Африки, в основном - потомки переселенцев из Голландии "
2775;Р6;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;ЭП запретит указывать авторов произведений искусства
2776;ПФ;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;ЭП, в развитых странах, медикаментозно лишит солдат способности испытывать страх во время боевых действий
2777;Ф;Второй тур Сибирской лиги дебатов 2019/2020 ;Открытый;Новосибирск;2020.02;ЭП сожалеет об упадке тесно интегрированных семейных связей
2778;Р1;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;"ЭП, как Папа Франциск, отменит ад
* В марте 2018 года итальянская газета La Republica опубликовала статью, в которой журналист заявил, что при встрече Папа Франциск сказал ему, что ада не существует и грешные души не наказываются после смерти. Ватикан опроверг данный факт. Журналист не привел каких-либо доказательств. Папа Франциск ситуацию не комментировал."
2779;Р2;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;"ЭП сожалеет о доминировании левых политических идей в феминистическом движении
* Политические левые взгляды характеризуются идеологическим неприятием капитализма, консервативных ценностей и традиционных религиозных учений. Это включает в себя, но не ограничивается идеей, что вы не можете быть феминисткой и быть против абортов, и вы не должны голосовать за Тори или республиканцев."
2780;Р3;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;"ЭП введет жесткое регулирование банковского сектора в РФ
* Под «жёсткими регуляциями» банковского сектора понимаются:
1) принудительное дробление крупных банков;
2) запрет коммерческим банкам заниматься инвестиционной деятельностью;
3) запрет сделок M&A, которые приведут к образованию банка, имеющего более 20% доли рынка."
2781;Р4;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;"ЭП предпочитает судейский оригинализм судейскому активизму
* Судейский оригинализм — правовая теория, основанная на принципах однозначности и неизменности текста закона, а также правоприменению на основе исключительно толкования текста закона без учета его временного конъюнктурного понимания и личных политико-социальных и экономических представлений — то есть того, что было заложено в закон в момент его принятия.
Судейский активизм — трактовка закона с учетом социо-политической обстановки в стране. Примеры включают, но не ограничиваются следующими ситуациями судейского активизма: НКО судится с правительством Нидерландов, чтобы принять более жесткие меры против изменения климата (Urgenda); британский Верховный суд решает, должна ли нижняя палата парламента голосовать по Brexit; американские окружные суды рассматривают иски в отношении принятых президентом Трампом решений; Верховный суд США закрепляет право на однополой брак."
2782;Р5;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;ЭП создаст квоты для наименее обеспеченных семей в более обеспеченных кварталах и многоквартирных домах
2783;ПФ;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;ЭП создаст армию ООН под контролем всех членов Совбеза и без права вето
2784;Ф;II ОТ Горного Университета 2020;Открытый;Санкт-Петербург;2020.02;"ЭП уничтожит Китай
* Сентябрь 2020. Эпидемия коронавируса локализована в Китае. Инфицировано 90% населения. Китай пока что заблокировал выезд из страны, но сообщается, что люди пытаются прорваться. Вакцины нет, но шанс, что её изобретут в течение года - 50%."
2785;Р1;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭПСЧ дискриминируемые группы должны поддерживать позитивные стереотипы о своих представителях
* Примеры позитивных стереотипов - женщины более эмпатичные, азиаты более трудолюбивые, евреи умные."
2786;Р2;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭП сожалеет о приоритете прозрачности в [романтических] отношениях
* Прозрачность в отношениях это концепт, подразумевающий:
- моральное обязательство делиться всеми переживаниями, мыслям, эротическими фантазиями и т.п.;
- минимизацию индивидуальной приватности (""своей"" личной жизни, только своих друзей и т.п.)."
2787;Р3;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭПСЧ страны с ярко-выраженным этническим и (или) религиозным делением должны использовать ливанскую модель распределения власти
* «Ливанская модель» (конфессионализм) – модель распределения власти, при которой все ветви (исполнительная, законодательная и т.п.) распределены между этносами/религиозным группами Например, в Ливане президентом страны должен быть христианин-маронит, премьер-министром — мусульманин-суннит, спикером парламента — мусульманин-шиит, а в правительстве должны быть поровну представлены христиане и мусульмане."
2788;Р4;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭП сожалеет о стремлении обессмертить себя
* Под стремлением ""обессмертить себя"" понимается стремление не быть забытым, оставить после себя наследие в той или иной форме"
2789;Р5;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭПСЧ правительство должно определять приоритеты в исследованиях частных фармацевтических компаний
* Приоритеты в исследованиях - поиск и/или разработка лекарств к конкретным заболеваниям или группе заболеваний"
2790;ПФ;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭПСЧ родители слабослышащих детей должны стремиться интегрировать детей в культуру глухих, а не адаптировать к обществу слышащих

* Культура глухих – жестовые языки (есть разные диалекты), отношение к глухоте как к особенности, свои этикетные правила и нормы поведения, свои произведения искусства и общественные пространства

Главные особенности интеграции в культуру глухих:
- отказ от кохлеарных имплантов («слуховые аппараты»; они не подходят всем, не дают 100% слуха, не восстанавливают, не работают в воде);
- восприятие глухоты как особенности, а не инвалидности;
- обучение жестовому языку, а не чтению по губам."
2791;Ф;Зимний онлайн-турнир 2020;Открытый (онлайн);Онлайн;2020.02;"ЭП легализует токкенизацию людей
* В ""токкенизацию людей"" мы включаем, но не ограничиваем:
- возможность физическому лицу выходить на IPO или получать деньги от ограниченного круга инвесторов
- форма и степень контроля определяется человеком (индивидуальные решения, отчуждение профессиональных решений (выбор карьеры, образования и тп инвестору, и т.д.)
Форма юридического контроля и гарантий со стороны государства аналогична контролю за юридическим лицами, с разумными ограничениями"
2792;Р1;ОТ ВГУ;Открытый;Воронеж;2020.03;ЭП отменит платное высшее образование
2793;Р2;ОТ ВГУ;Открытый;Воронеж;2020.03;ЭПСЧ известные люди не должны высказываться по общественно важным вопросам, в которых они не являются экспертами 
2794;Р3;ОТ ВГУ;Открытый;Воронеж;2020.03;ЭП будет стимулировать жителей не переезжать в крупнейшие города в развивающихся странах
2795;Р4;ОТ ВГУ;Открытый;Воронеж;2020.03;ЭПСЧ ЛГБТ+ прайды должны иметь протестный характер, а не характер праздника
2796;Р5;ОТ ВГУ;Открытый;Воронеж;2020.03;"ЭП легализует использование культурной защиты в уголовных делах
* Культурная защита – это используемая в уголовных делах практика аргументации защиты, основанная на культурном, социальном и религиозном бэкграунде обвиняемого"
2797;ПФ;ОТ ВГУ;Открытый;Воронеж;2020.03;"ЭПСЧ компании должны принять практику радикальной прозрачности
* Компания Bridgewater работает по практике ""радикальной прозрачности"". Это означает, что внутренне каждый разговор, встреча и отчёт записываются и доступны всем сотрудникам по их запросу. Кроме того, сотрудники должны оценивать каждое взаимодействие и сотрудничество друг с другом, фактически оставляя обзор друг на друга."
2798;Ф;ОТ ВГУ;Открытый;Воронеж;2020.03;"ЭП сожалеет о том, что финансовые институты развития (Азиатский банк развития, Программа развития ООН, Азиатский инфраструктурный инвестиционный банк, Всемирный банк) смещают фокус на точечную помощь с поддержки макроэкономических проектов и инициатив
* Для целей этих дебатов:
- точечная помощь включает в себя: микрофинансирование; создание локальной инфраструктуры; предоставление грантов для бизнеса и финансирование НКО;
- макроэкономические инициативы включают в себя: работу по созданию юридических институтов для защиты прав собственности; обеспечение финансовых институтов необходимым капиталом и резервами; деньги на предоставление помощи населению, выделяемые государству, а не напрямую."
2799;Р1;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;ЭП сожалеет об идеализации мегаполисов
2800;Р2;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;"ЭП как сторонний наблюдатель сожалеет об ограничении в правах части русскоязычного населения Эстонии и Латвии
* После распада СССР большая часть бывших союзных республик приняли решение о предоставлении собственного гражданства всему населению страны («нулевой вариант»). Единственными странами, отказавшимися от этой схемы, стали Эстония и Латвия. Многие жители Эстонии и Латвии (главным образом - русскоязычные переселенцы из других республик/их дети) не получили гражданства прибалтийских республик и сформировали категорию «неграждан», лишенных избирательного права. Создание категории неграждан в Эстонии и Латвии также сопровождалось языковыми и культурными ограничениями.
Со временем положение «неграждан» было смягчено, однако в интересах этой темы следует говорить не только о статусе-кво, но и о прошедших событиях."
2801;Р3;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;ЭП как среднестатистический член истеблишмента Демократической партии США поддержит кандидатуру Берни Сандерса на праймериз
2802;Р4;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;"ЭПСЧ антифашистское движение должно выбрать стратегию ненасильственного сопротивления
* Фаши́зм — обобщённое название крайне правых политических движений и идеологий, проповедующих форму правления диктаторского типа, характерными признаками которых называют милитаристский национализм, антилиберализм, ксенофобию, реваншизм и шовинизм, вождизм, антикоммунизм, презрение к выборной демократии и либерализму, веру в господство элит и естественную социальную иерархию, этатизм и, в ряде случаев, расизм и политику геноцида.
В рамках данных дебатов под антифашистским действием подразумевается набор активистских и символических практик, направленных на противодействие направленных на противодействие фашистской организации, активизму и политике. Оно может включать в себя препятствование проведению мероприятий, доксинг фашистских активистов, контр-демонстрации, удаление их агитации,внедрение в организации и решение локальных общественных проблем. Оно также может включать в себя физическое насилие и угрозы его применения."
2803;Р5;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;При наличии такой технологии, ЭП введет прогрессивный налог на счастье с целью его дальнейшего перераспределения
2804;ПФ;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;ЭП предпочтет мир, где говорят только правду
2805;Ф;Таллиннский Открытый Кубок 2020;Открытый;Таллин (Эстония);2020.03;"ЭП как либеральное медиа откажется от публикации этой информации
* Вы находитесь в авторитарном государстве. В стране идет громкий судебный процесс: десяток молодых людей людей обвиняется в создании террористической организации. Признание было получено под пытками. Обвиняемые получили огромные сроки заключения. В стране началась активная общественная кампания в поддержку заключенных, которую проводят в основном оппозиционные либеральные силы. Вы представляете одно из немногих свободных либеральных медиа в этой стране. К вам попала информация, свидетельствующая о причастности нескольких обвиняемых к убийству и торговле наркотиками."
2806;Р1;"ОТ ВШЭ ""Новый уровень"" 2020";Открытый;Москва;2020.03;ЭПСЧ бывшие колониальные страны при построении национальной идентичности должны сместить акцент с колониального прошлого на современные проблемы/поводы для гордости
2807;Р2;"ОТ ВШЭ ""Новый уровень"" 2020";Открытый;Москва;2020.03;"ЭПСЧ мексиканское правительство должно поддержать картель Синалоа в ""войне картелей""
* «Нарковойна» в Мексике — вооружённый конфликт между враждующими наркокартелями, правительственными войсками и полицией в Мексике. В 2006 году мексиканские власти начали очередную полномасштабную войну.
Жертвы: >60 в день, 200 000 в сумме
Аресты лидеров картелей обострили борьбу картелей за влияние и привели к росту насилия.
Методы картелей: захват территории, атаки боевиков противоборствующих сил, зверские показательные убийства мирных граждан с целью запугивания, похищения людей, незаконный захват промышленности и бизнеса в контролируемых регионах и др.
Сейчас идет процесс поляризации среди мексиканских наркокартелей.За влияние борется сразу множество группировок.Идет борьба за территории, передел сфер влияния.
Два крупнейших картеля в Мексике на данный момент – «Синалоа» и «Лос-Сетас»
• Синалоа. Контролирует большую часть западной Мексики. Лидеры картеля исторически предпочитали взятки и договоренности с властями массовым убийствам и запугиванию, «подкуп вместо пули» . Контролирует до 60% всего наркотрафика в США.
• Лос-Сетас. Более склонен к экстремальному насилию, чем картель Синалоа. Картель контролирует большую часть восточной Мексики.
Картель Хуареса, Картель «Новое поколение Халиско», Картель Гольфо, Картель «тамплиеры» - крупные игроки на рынке наркотиков, ведущие кровавую борьбу между собой, с правительственными войсками и полицией."
2808;Р3;"ОТ ВШЭ ""Новый уровень"" 2020";Открытый;Москва;2020.03;"ЭП сожалеет о тренде на антигероев в современной культуре
* В целях этой темы:
Антигерой - персонаж произведения, объединяющий в себе как положительные, так и глубоко отрицательные черты. Может выступать в роли ""героя"", использующего злодейские методы, также может представлять ""злодея"", наделенного героическими чертами. Яркие образы антигероев характеризуются большим набором негативных качеств, присущих негодяем и злодеям, но в то же время наделены достаточным числом ""героических"" привлекательных черт, чтобы завоевать симпатию и сочувствие аудитории.
К ""антигероям"" можно отнести Дэдпула, Росомаху, Локи, Джокера, Уолтера Уайта, Тириона Ланнистера и других популярных персонажей массовой культуры"
2809;Р4;"ОТ ВШЭ ""Новый уровень"" 2020";Открытый;Москва;2020.03;"ЭП приветствует создание во всех спортивных лигах единого пула спонсоров
* Единый пул спонсоров – финансовая система в командных видах спорта, при которой каждый спонсор/партнер обязан заключать контракт не с конкретной командой, а со всей лигой.
Для примера, при такой системе, Газпром не может спонсировать только Зенит, а спонсирует всю лигу.
Деньги и их пропорцию между командами от всех коммерческих контрактов лига распределяет самостоятельно."
